gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000234745.14	HLA-B	2231.4707103283413	-1.1187727097669993	0.28490633170419527	4.631254298560016e-6	1.730833174292345e-4
ENSG00000185272.14	RBM11	59.64895577051252	1.1632769132215985	0.29439838987363615	4.764747475990304e-6	1.7694767468730307e-4
ENSG00000084453.17	SLCO1A2	35.55116508550183	-2.544778142472312	0.6611670715862433	5.013376496429392e-6	1.8501247154187127e-4
ENSG00000125885.13	MCM8	88.24773775726477	-1.2827868231411264	0.32741294033410356	5.116116227591978e-6	1.884097917635125e-4
ENSG00000230148.8	HOXB-AS1	51.41701027557952	3.1763973395410687	0.8393813045002263	5.210353437351614e-6	1.902911690163198e-4
ENSG00000108771.13	DHX58	31.168611391599793	-2.440895831704101	0.6362589804275689	5.371707919044082e-6	1.9461257117940297e-4
ENSG00000226087.4	ENSG00000226087	18.90738459780129	1.3209006897705067	0.3385938884386616	5.372807378932497e-6	1.9461257117940297e-4
ENSG00000113810.16	SMC4	1079.8431702808252	-1.3853135393995142	0.3567613449409403	5.5854361460781705e-6	2.0066617844565973e-4
ENSG00000125869.10	LAMP5	414.9128263292155	2.8180623643966953	0.7472903440630451	5.656499252657251e-6	2.0239482112956167e-4
ENSG00000107338.10	SHB	61.33627014008261	-1.4430658964900396	0.3725998750592387	5.829496738491308e-6	2.0732323078021507e-4
ENSG00000113396.13	SLC27A6	15.160129492664042	-1.5107667742165491	0.3911790965993194	5.861961571483256e-6	2.0805835436813808e-4
ENSG00000171634.19	BPTF	713.4676254266616	-1.0216480218486326	0.2597157051204329	5.890517105954034e-6	2.0865205170487783e-4
ENSG00000101938.15	CHRDL1	278.92274520521283	-1.4282981663923355	0.37116325443459913	6.287391095449373e-6	2.204961807628766e-4
ENSG00000281398.4	SNHG4	20.918063101852404	-1.7134288209211737	0.4465170085152999	6.397505829208447e-6	2.234693125291822e-4
ENSG00000183778.19	B3GALT5	72.20555608088537	-1.1423494729352552	0.29595207522521677	7.0758878673553596e-6	2.4189663174447392e-4
ENSG00000170577.8	SIX2	72.63843007841533	2.4252626385356217	0.6502948039753081	7.132212373213534e-6	2.4335053435877512e-4
ENSG00000164023.15	SGMS2	157.46751341539502	-1.3975865018228002	0.3661809611190475	7.275073027578316e-6	2.466035261141555e-4
ENSG00000203727.4	SAMD5	489.20285128391623	-1.0151454273628058	0.2616325030150633	7.3569600573006335e-6	2.4813914992501563e-4
ENSG00000178538.10	CA8	579.8421621519549	2.2733754450750587	0.6099913468763389	7.45166729720121e-6	2.4976856861272574e-4
ENSG00000106341.11	PPP1R17	224.35632303877347	-1.0301609855918672	0.2662382071287969	7.642843560448121e-6	2.548577701442436e-4
ENSG00000164190.19	NIPBL	779.0705086531672	-1.1628459664163286	0.30303246936245265	7.663285163736264e-6	2.5505726469492016e-4
ENSG00000126777.18	KTN1	1258.9772921601127	-1.0417510490057562	0.2680918092750052	7.832934837295521e-6	2.5923634245758533e-4
ENSG00000134765.10	DSC1	31.677999018772947	-2.2328483867869173	0.5961504209464913	7.899922832252635e-6	2.6047596030081584e-4
ENSG00000242261.1	ENSG00000242261	27.522600691323944	-1.177256255889595	0.3088117302013713	8.099276619999955e-6	2.65559924863939e-4
ENSG00000204128.6	C2orf72	235.62384715166937	1.0009777335040106	0.2600082754439647	8.142343759847423e-6	2.6647670486773387e-4
ENSG00000163694.15	RBM47	374.81573861318384	-1.4268074905750325	0.377052561189229	8.171483649226637e-6	2.6693513254140346e-4
ENSG00000114268.12	PFKFB4	426.1473154480962	1.272899286607424	0.33600616065208166	8.252223612620386e-6	2.6907435217490497e-4
ENSG00000137819.14	PAQR5	46.99240567463728	-1.510633462322287	0.3998197155793903	8.409158108532814e-6	2.731814899346572e-4
